Id,response
1,6
3,2
4,6
9,7
12,8
13,8
21,8
28,7
30,1
36,8
38,8
43,8
45,4
48,8
50,8
51,8
54,7
55,8
59,8
62,2
63,8
66,8
69,8
82,8
83,6
84,2
86,8
89,8
90,2
92,8
98,7
100,1
105,5
115,8
119,3
124,4
127,8
133,8
140,2
141,8
143,1
151,2
154,8
157,8
163,7
166,5
168,8
170,6
173,8
180,1
182,8
184,2
185,7
195,8
196,6
197,5
212,5
213,8
219,8
225,2
227,2
232,1
239,6
247,2
251,6
254,8
261,7
264,8
267,8
272,7
275,8
277,6
283,8
284,1
287,6
291,8
293,7
294,1
305,8
307,7
309,8
311,5
322,4
323,4
326,6
330,4
335,8
337,7
338,5
341,4
346,2
348,1
352,4
356,8
358,6
366,7
369,6
373,6
375,2
381,8
384,8
386,7
396,6
397,2
399,8
405,8
412,8
417,1
421,1
425,7
427,8
430,2
432,2
433,8
436,8
438,8
441,8
442,7
444,6
446,8
448,8
450,6
454,6
465,8
470,1
472,5
475,6
484,8
495,8
497,8
498,8
501,2
502,8
505,8
515,1
516,6
527,8
529,2
531,6
533,1
537,1
541,7
546,8
548,6
549,8
550,7
553,8
559,7
561,5
564,2
574,5
578,8
579,6
580,8
582,6
584,8
588,6
596,6
602,6
603,1
613,8
614,1
619,8
620,6
624,5
625,8
628,8
630,7
635,8
636,2
637,8
641,8
644,8
648,8
654,8
658,8
664,8
666,6
667,8
670,8
672,6
674,8
676,8
684,8
685,6
693,2
694,8
700,4
702,6
703,1
705,6
711,8
718,1
722,7
726,8
727,8
732,8
735,7
740,1
748,8
750,6
751,8
756,7
762,6
766,8
770,8
771,5
779,6
782,5
784,8
793,7
798,6
800,6
801,8
805,7
807,8
813,8
819,7
820,7
822,8
823,6
833,8
834,6
842,4
845,6
856,5
860,6
864,7
869,7
872,8
877,6
878,8
893,6
894,7
896,5
899,8
900,8
911,1
914,8
917,2
919,8
923,2
925,8
926,6
934,6
938,8
940,8
955,6
956,5
971,2
973,8
978,8
979,8
981,8
988,8
990,7
992,5
996,6
997,7
999,3
1000,8
1006,6
1009,2
1018,6
1025,1
1038,8
1042,7
1045,6
1046,8
1047,2
1050,6
1052,6
1054,8
1057,7
1061,3
1069,2
1071,7
1073,2
1074,8
1075,2
1083,1
1084,1
1089,5
1099,5
1103,2
1110,8
1123,6
1130,7
1135,8
1137,8
1145,8
1147,2
1152,8
1153,6
1154,8
1158,8
1166,6
1170,8
1172,6
1178,8
1179,8
1181,3
1182,6
1183,8
1191,2
1192,2
1200,1
1205,6
1207,8
1208,1
1209,6
1217,2
1223,8
1225,7
1226,7
1228,6
1230,8
1232,8
1235,8
1237,7
1257,6
1266,2
1267,6
1274,8
1277,8
1278,5
1280,8
1282,8
1293,6
1294,4
1305,8
1306,7
1311,6
1318,5
1320,8
1323,8
1325,5
1328,7
1336,5
1340,7
1341,8
1344,7
1345,7
1348,3
1358,1
1361,8
1364,6
1373,8
1377,5
1378,8
1380,6
1382,6
1383,6
1386,8
1387,1
1390,6
1395,8
1398,6
1402,8
1403,8
1405,8
1407,8
1410,1
1412,1
1419,2
1426,8
1428,8
1436,1
1437,1
1438,7
1441,8
1444,8
1448,1
1454,5
1457,5
1459,8
1463,8
